transaction_id,amount_paise,day,merchant_id,instrument_type
7475328,1457,2010-01-01,67570,CREDIT_CARD
7475329,8000,2010-01-01,27092,DEBIT_CARD
7475331,20000,2010-01-01,27092,DEBIT_CARD
7475332,4641,2010-01-01,13051,DEBIT_CARD
7475333,481,2010-01-01,20519,DEBIT_CARD
7475334,7700,2010-01-01,59935,DEBIT_CARD
7475336,26158,2010-01-01,50292,DEBIT_CARD
7475337,1074,2010-01-01,3864,DEBIT_CARD
7475338,351,2010-01-01,67570,DEBIT_CARD
7475339,258,2010-01-01,75781,DEBIT_CARD
7475340,3963,2010-01-01,59935,DEBIT_CARD
7475341,4333,2010-01-01,33326,DEBIT_CARD
7475343,109,2010-01-01,20519,DEBIT_CARD
7475344,7379,2010-01-01,1636,CREDIT_CARD
7475345,10000,2010-01-01,27092,DEBIT_CARD
7475346,2604,2010-01-01,39021,DEBIT_CARD
7475348,5427,2010-01-01,88945,CREDIT_CARD
7475349,2074,2010-01-01,21586,CREDIT_CARD
7475350,6400,2010-01-01,61195,DEBIT_CARD
7475351,5754,2010-01-01,11901,DEBIT_CARD
7475353,1017,2010-01-01,39021,CREDIT_CARD
7475356,1686,2010-01-01,16798,CREDIT_CARD
7475357,464,2010-01-01,50783,DEBIT_CARD
7475358,66988,2010-01-01,68977,DEBIT_CARD
7475360,240,2010-01-01,74624,DEBIT_CARD
7475361,4035,2010-01-01,69972,DEBIT_CARD
7475362,1457,2010-01-01,78632,CREDIT_CARD
7475363,780,2010-01-01,81536,DEBIT_CARD
7475364,295,2010-01-01,61195,DEBIT_CARD
7475365,27022,2010-01-01,73186,DEBIT_CARD
7475366,7800,2010-01-01,43293,CREDIT_CARD
7475367,8709,2010-01-01,17976,DEBIT_CARD
7475368,14839,2010-01-01,5258,DEBIT_CARD
7475370,4812,2010-01-01,88646,DEBIT_CARD
7475371,775,2010-01-01,86977,DEBIT_CARD
7475372,1466,2010-01-01,16798,CREDIT_CARD
7475373,396,2010-01-01,44625,DEBIT_CARD
7475374,1267,2010-01-01,39021,DEBIT_CARD
7475376,58098,2010-01-01,73661,DEBIT_CARD
7475377,1034,2010-01-01,12399,DEBIT_CARD
7475378,1714,2010-01-01,29232,DEBIT_CARD
7475379,185,2010-01-01,14528,DEBIT_CARD
7475380,7172,2010-01-01,43293,CREDIT_CARD
7475381,20000,2010-01-01,27092,CREDIT_CARD
7475383,2308,2010-01-01,80797,CREDIT_CARD
7475385,4000,2010-01-01,27092,DEBIT_CARD
7475388,243,2010-01-01,46284,DEBIT_CARD
7475389,377,2010-01-01,20519,DEBIT_CARD
7475390,329,2010-01-01,92883,DEBIT_CARD
7475391,6298,2010-01-01,17976,DEBIT_CARD
7475394,3434,2010-01-01,16798,DEBIT_CARD
7475396,916,2010-01-01,23462,DEBIT_CARD
7475397,54129,2010-01-01,40475,CREDIT_CARD
7475398,3069,2010-01-01,32175,DEBIT_CARD
7475399,17741,2010-01-01,86616,CREDIT_CARD
