bank_ref_id,transaction_id,settled_amount_paise,settlement_date,instrument_type,merchant_id,fee_paise,gst_paise,settlement_id,utr,currency,gross_amount_paise
bnk_7475328,7475328,1423,2010-01-01,CREDIT_CARD,67570,29,5,set_7475328,,,1457
bnk_7475329,7475329,7906,2010-01-01,DEBIT_CARD,27092,80,14,set_7475329,,,8000
bnk_7475331,7475331,19764,2010-01-01,DEBIT_CARD,27092,200,36,set_7475331,,,20000
bnk_7475332,7475332,4588,2010-01-01,DEBIT_CARD,13051,46,8,set_7475332,,,4641
bnk_7475333,7475333,475,2010-01-01,DEBIT_CARD,20519,5,1,set_7475333,,,481
bnk_7475334,7475334,7609,2010-01-01,DEBIT_CARD,59935,77,14,set_7475334,,,7700
bnk_7475335,7475335,2615,2010-01-01,DEBIT_CARD,39021,26,5,set_7475335,,,2646
bnk_7475336,7475336,25849,2010-01-01,DEBIT_CARD,50292,262,47,set_7475336,,,26158
bnk_7475337,7475337,1061,2010-01-01,DEBIT_CARD,3864,11,2,set_7475337,,,1074
bnk_7475338,7475338,346,2010-01-01,DEBIT_CARD,67570,4,1,set_7475338,,,351
bnk_7475339,7475339,316,2010-01-01,DEBIT_CARD,75781,3,1,set_7475339,,,258
bnk_7475340,7475340,3999,2010-01-01,DEBIT_CARD,59935,40,7,set_7475340,,,3963
bnk_7475341,7475341,4282,2010-01-01,DEBIT_CARD,33326,43,8,set_7475341,,,4333
bnk_7475342,7475342,4884,2010-01-01,DEBIT_CARD,61195,49,9,set_7475342,,,4942
bnk_7475343,7475343,108,2010-01-01,DEBIT_CARD,20519,1,0,set_7475343,,,109
bnk_7475344,7475344,7204,2010-01-01,CREDIT_CARD,1636,148,27,set_7475344,,,7379
bnk_7475345,7475345,9953,2010-01-01,DEBIT_CARD,27092,100,18,set_7475345,,,10000
bnk_7475346,7475346,2573,2010-01-01,DEBIT_CARD,39021,26,5,set_7475346,,,2604
bnk_7475348,7475348,5433,2010-01-01,CREDIT_CARD,88945,109,20,set_7475348,,,5427
bnk_7475349,7475349,2026,2010-01-01,CREDIT_CARD,21586,41,7,set_7475349,,,2074
bnk_7475350,7475350,6324,2010-01-01,DEBIT_CARD,61195,64,12,set_7475350,,,6400
bnk_7475351,7475351,5686,2010-01-01,DEBIT_CARD,11901,58,10,set_7475351,,,5754
bnk_7475353,7475353,993,2010-01-01,CREDIT_CARD,39021,20,4,set_7475353,,,1017
bnk_7475354,7475354,1187,2010-01-01,DEBIT_CARD,28666,12,2,set_7475354,,,1201
bnk_7475356,7475356,1646,2010-01-01,CREDIT_CARD,16798,34,6,set_7475356,,,1686
bnk_7475357,7475357,458,2010-01-01,DEBIT_CARD,50783,5,1,set_7475357,,,464
bnk_7475358,7475358,66197,2010-01-01,DEBIT_CARD,68977,670,121,set_7475358,,,66988
bnk_7475359,7475359,2230,2010-01-01,DEBIT_CARD,39021,23,4,set_7475359,,,2257
bnk_7475360,7475360,238,2010-01-01,DEBIT_CARD,74624,2,0,set_7475360,,,240
bnk_7475361,7475361,3988,2010-01-01,DEBIT_CARD,69972,40,7,set_7475361,,,4035
bnk_7475362,7475362,1423,2010-01-01,CREDIT_CARD,78632,29,5,set_7475362,,,1457
bnk_7475363,7475363,771,2010-01-01,DEBIT_CARD,81536,8,1,set_7475363,,,780
bnk_7475364,7475364,291,2010-01-01,DEBIT_CARD,61195,3,1,set_7475364,,,295
bnk_7475365,7475365,26703,2010-01-01,DEBIT_CARD,73186,270,49,set_7475365,,,27022
bnk_7475366,7475366,7756,2010-01-01,CREDIT_CARD,43293,156,28,set_7475366,,,7800
